
Iteratia 142 : 	x0 = 13.999766590179773		delta = 1.643807421500414e-06
Iteratia 143 : 	x0 = 13.999764946371268		delta = 1.6438085037470728e-06
Iteratia 144 : 	x0 = 13.999763302561682		delta = 1.6438095859951908e-06
Iteratia 145 : 	x0 = 13.999761658751014		delta = 1.6438106682451345e-06
Iteratia 146 : 	x0 = 13.999760014939264		delta = 1.6438117504971244e-06
Iteratia 147 : 	x0 = 13.99975837112643		delta = 1.6438128327499911e-06
Iteratia 148 : 	x0 = 13.999756727312516		delta = 1.6438139150048287e-06
Iteratia 149 : 	x0 = 13.999755083497519		delta = 1.643814997261054e-06
Iteratia 150 : 	x0 = 13.99975343968144		delta = 1.6438160795191793e-06
Iteratia 151 : 	x0 = 13.999751795864277		delta = 1.6438171617781816e-06
Iteratia 152 : 	x0 = 13.999750152046033		delta = 1.6438182440391538e-06
Iteratia 153 : 	x0 = 13.999748508226707		delta = 1.6438193263020253e-06
Iteratia 154 : 	x0 = 13.9997468644063		delta = 1.6438204085657752e-06
Iteratia 155 : 	x0 = 13.999745220584808		delta = 1.6438214908314967e-06
Iteratia 156 : 	x0 = 13.999743576762235		delta = 1.6438225730986777e-06
Iteratia 157 : 	x0 = 13.99974193293858		delta = 1.6438236553678308e-06
Iteratia 158 : 	x0 = 13.999740289113843		delta = 1.6438247376380804e-06
Iteratia 159 : 	x0 = 13.999738645288023		delta = 1.6438258199100837e-06
Iteratia 160 : 	x0 = 13.99973700146112		delta = 1.6438269021834733e-06
Iteratia 161 : 	x0 = 13.999735357633137		delta = 1.6438279844586886e-06
Iteratia 162 : 	x0 = 13.99973371380407		delta = 1.6438290667353659e-06
Iteratia 163 : 	x0 = 13.99973206997392		delta = 1.643830149013357e-06
Iteratia 164 : 	x0 = 13.999730426142689		delta = 1.6438312312933196e-06
Iteratia 165 : 	x0 = 13.999728782310376		delta = 1.6438323135747439e-06
Iteratia 166 : 	x0 = 13.99972713847698		delta = 1.6438333958575566e-06
Iteratia 167 : 	x0 = 13.999725494642501		delta = 1.6438344781418293e-06
Iteratia 168 : 	x0 = 13.99972385080694		delta = 1.643835560428001e-06
Iteratia 169 : 	x0 = 13.999722206970299		delta = 1.6438366427155607e-06
Iteratia 170 : 	x0 = 13.999720563132573		delta = 1.6438377250051663e-06
Iteratia 171 : 	x0 = 13.999718919293766		delta = 1.6438388072955007e-06
Iteratia 172 : 	x0 = 13.999717275453877		delta = 1.6438398895878078e-06
Iteratia 173 : 	x0 = 13.999715631612904		delta = 1.6438409718815768e-06
Iteratia 174 : 	x0 = 13.99971398777085		delta = 1.6438420541773157e-06
Iteratia 175 : 	x0 = 13.999712343927714		delta = 1.6438431364745168e-06
Iteratia 176 : 	x0 = 13.999710700083495		delta = 1.6438442187729598e-06
Iteratia 177 : 	x0 = 13.999709056238194		delta = 1.643845301073448e-06
Iteratia 178 : 	x0 = 13.99970741239181		delta = 1.6438463833746667e-06
Iteratia 179 : 	x0 = 13.999705768544345		delta = 1.6438474656779298e-06
Iteratia 180 : 	x0 = 13.999704124695796		delta = 1.6438485479831656e-06
Iteratia 181 : 	x0 = 13.999702480846166		delta = 1.6438496302892777e-06
Iteratia 182 : 	x0 = 13.999700836995453		delta = 1.6438507125972887e-06
Iteratia 183 : 	x0 = 13.999699193143659		delta = 1.6438517949073448e-06
Iteratia 184 : 	x0 = 13.999697549290781		delta = 1.643852877218206e-06
Iteratia 185 : 	x0 = 13.999695905436822		delta = 1.6438539595309637e-06
Iteratia 186 : 	x0 = 13.99969426158178		delta = 1.6438550418451107e-06
Iteratia 187 : 	x0 = 13.999692617725655		delta = 1.6438561241608657e-06
Iteratia 188 : 	x0 = 13.999690973868448		delta = 1.6438572064782982e-06
Iteratia 189 : 	x0 = 13.99968933001016		delta = 1.6438582887972655e-06
Iteratia 190 : 	x0 = 13.99968768615079		delta = 1.643859371118133e-06
Iteratia 191 : 	x0 = 13.999686042290335		delta = 1.6438604534400964e-06
Iteratia 192 : 	x0 = 13.9996843984288		delta = 1.6438615357637382e-06
Iteratia 193 : 	x0 = 13.999682754566182		delta = 1.643862618088915e-06
Iteratia 194 : 	x0 = 13.99968111070248		delta = 1.6438637004159172e-06
Iteratia 195 : 	x0 = 13.999679466837698		delta = 1.6438647827443804e-06
Iteratia 196 : 	x0 = 13.999677822971833		delta = 1.6438658650743047e-06
Iteratia 197 : 	x0 = 13.999676179104886		delta = 1.6438669474056175e-06
Iteratia 198 : 	x0 = 13.999674535236856		delta = 1.6438680297389026e-06
Iteratia 199 : 	x0 = 13.999672891367744		delta = 1.6438691120735015e-06
Iteratia 200 : 	x0 = 13.99967124749755		delta = 1.643870194409635e-06
Iteratia 201 : 	x0 = 13.999669603626273		delta = 1.6438712767475951e-06
Iteratia 202 : 	x0 = 13.999667959753914		delta = 1.6438723590870147e-06
Iteratia 203 : 	x0 = 13.999666315880473		delta = 1.6438734414278227e-06
Iteratia 204 : 	x0 = 13.999664672005949		delta = 1.643874523770093e-06
Iteratia 205 : 	x0 = 13.999663028130342		delta = 1.6438756061142602e-06
